ATLAS_ID,Concept ID,descendants
7542,316139,1
7542,316139,1
7551,312327,0
7552,443454,1
7552,437540,0
7553,376714,0
7553,434656,0
7553,373503,1
7553,433505,0
7576,315558,1
7543,4282096,1
7543,36918942,1
7545,436676,1
7546,74013,1
7546,4140090,1
7546,381270,1
7507,374919,1
7547,35088,0
7547,373179,0
7547,4043378,0
7547,4182210,1
7547,375239,0
7547,372608,0
7548,78419,1
7549,4175644,0
7549,4138617,0
7549,4215402,0
7549,4102985,0
7549,436681,0
7549,439013,0
7549,436962,0
7549,439708,0
7549,43020938,0
7550,439780,1
7550,439776,1
7550,4053178,1
7822,374013,1
7822,4140090,1
7822,381270,1
7823,35088,0
7823,373179,0
7823,4043378,0
7823,4182210,1
7823,375239,0
7823,372608,0
10357,4333677,1
10357,436665,1
11073,4282096,1
11073,36918942,1
2538,4035611,1
2538,4083556,1
2538,80809,1
2538,4102493,1
2538,4107913,1
2538,46273442,1
2538,4334806,1
2538,4297650,1
10593,437082,1
10605,4166480,1
10605,4025853,1
10605,81893,1
10605,46273478,1
10605,46274082,1
10605,6269952,1
10605,46273477,1
10605,4116142,1
15078,55019,1
15078,37111373,1
15078,201606,1
15078,46269889,1
10607,81931,1
10607,73553,1
11643,40168,1
11643,75614,1
