"Id","","Name","Domain","Suggested Negative Control","Sort Order","Publication Count (Descendant Concept Match)","Publication Count (Exact Concept Match)","Publication Count (Parent Concept Match)","Publication Count (Ancestor Concept Match)","Indicated / Contraindicated","Broad Concept","Drug Induced Concept","Pregnancy Concept","Product Label Count (Descendant Concept Match)","Product Label (Exact Concept Match)","Product Label (Parent Concept Match)","Product Label (Ancestor Concept Match)","FAERS Count (Descendant Concept Match)","FAERS Count (Exact Concept Match)","FAERS Count (Parent Concept Match)","FAERS Count (Ancestor Concept Match)","User Excluded","User Included","Optimized Out","Not Prevalent","Drug Label Exists","RC","DRC"
"432596","","Immune defect","","Y","3,997","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","1,480,605","2,122,835"
"435516","","Lipoprotein deficiency disorder","","Y","3,924","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","3,569,113","3,575,516"
"256142","","Dental arch relationship anomaly","","Y","3,914","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","131,486","131,486"
"77066","","Derangement of medial meniscus","","Y","3,898","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","4,527,805","9,632,389"
"43021250","","Complication associated with orthopedic device","","Y","3,889","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,628,826","6,587,899"
"4092358","","Malignant neoplasm of connective and soft tissue of thorax","","Y","3,862","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","191,795","191,795"
"4038842","","Hodgkin's disease, nodular sclerosis","","Y","3,855","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","551,947","1,823,440"
"443570","","Cervicovaginal cytology: Low grade squamous intraepithelial lesion","","Y","3,850","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,772,886","5,772,886"
"438122","","Persistent hyperplasia of thymus","","Y","3,845","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","65,097","65,097"
"436585","","Toxic effect of ethyl alcohol","","Y","3,843","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","420,032","19,198,033"
"4144911","","Stoma malfunction","","Y","3,786","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","1,357,280","2,942,623"
"4295287","","Hypercoagulability state","","Y","3,723","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,788,235","5,788,235"
"434881","","Peripheral T-cell lymphoma","","Y","3,630","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","757,027","757,051"
"434490","","Chill","","Y","3,521","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","4,135,488","4,155,938"
"4312497","","Toxic effect of heavy metal","","Y","3,410","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","34,179","615,253"
"436940","","Metabolic syndrome X","","Y","3,391","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","14,083,255","14,083,255"
"4086438","","Organic solvents causing toxic effect","","Y","3,358","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","26,045","40,422"
"76153","","Low compliance bladder","","Y","3,331","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","3,636,774","3,636,774"
"4193868","","Sedative, hypnotic AND/OR anxiolytic-related disorder","","Y","3,318","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","1,929,926","1,929,926"
"81382","","Pigmented villonodular synovitis","","Y","3,250","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","116,214","1,945,485"
"4101282","","Dietary selenium deficiency","","Y","3,195","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","40,379","40,379"
"4173136","","Agnosia","","Y","3,163","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","70,592","269,053"
"435434","","Organophosphate and carbamate causing toxic effect","","Y","3,129","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","9,274","9,274"
"433111","","Effects of hunger","","Y","3,126","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","153,797","153,828"
"4152351","","Abdominal distension, gaseous","","Y","3,103","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","18,994,068","18,994,068"
"45757558","","Disturbance of oral epithelium","","Y","3,079","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","138,934","138,934"
"4029271","","Essential fatty acid deficiency","","Y","3,049","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","116,321","116,321"
"4301594","","Hematosalpinx","","Y","3,027","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","23,597","23,597"
