"Id","","Name","Domain","Suggested Negative Control","Sort Order","Publication Count (Descendant Concept Match)","Publication Count (Exact Concept Match)","Publication Count (Parent Concept Match)","Publication Count (Ancestor Concept Match)","Indicated / Contraindicated","Broad Concept","Drug Induced Concept","Pregnancy Concept","Product Label Count (Descendant Concept Match)","Product Label (Exact Concept Match)","Product Label (Parent Concept Match)","Product Label (Ancestor Concept Match)","FAERS Count (Descendant Concept Match)","FAERS Count (Exact Concept Match)","FAERS Count (Parent Concept Match)","FAERS Count (Ancestor Concept Match)","User Excluded","User Included","Optimized Out","Not Prevalent","Drug Label Exists","RC","DRC"
"43013872","","alginate","","Y","1,359","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","6,384,797","6,722,415"
"42903433","","citric acid acetate","","Y","1,358","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","0","0"
"19050087","","ibutilide","","Y","1,349","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","38,748","88,156"
"19004295","","Thiamylal","","Y","1,345","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","54,679","109,358"
"1711523","","Indinavir","","Y","1,342","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","19,184","128,146"
"1350040","","Amifostine","","Y","1,339","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","23,615","243,130"
"1319133","","Nimodipine","","Y","1,338","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","118,127","1,128,067"
"1036475","","Sulfanilamide","","Y","1,336","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","20,176","43,228"
"19135810","","zinc bromide","","Y","1,325","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","200,686","200,686"
"19037560","","bifonazole","","Y","1,322","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","217,118","555,543"
"705755","","Trimipramine","","Y","1,311","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","275,749","1,149,763"
"700465","","Thiothixene","","Y","1,310","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","110,301","771,467"
"40230597","","ceftaroline","","Y","1,305","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","66,762","345,552"
"19050832","","clobazam","","Y","1,304","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","1","256,506","2,072,077"
"1590418","","thyroid, porcine","","Y","1,299","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","0","84,900","84,900"
