"Id","","Name","Domain","Suggested Negative Control","Sort Order","Publication Count (Descendant Concept Match)","Publication Count (Exact Concept Match)","Publication Count (Parent Concept Match)","Publication Count (Ancestor Concept Match)","Indicated / Contraindicated","Broad Concept","Drug Induced Concept","Pregnancy Concept","Product Label Count (Descendant Concept Match)","Product Label (Exact Concept Match)","Product Label (Parent Concept Match)","Product Label (Ancestor Concept Match)","FAERS Count (Descendant Concept Match)","FAERS Count (Exact Concept Match)","FAERS Count (Parent Concept Match)","FAERS Count (Ancestor Concept Match)","User Excluded","User Included","Optimized Out","Not Prevalent","Drug Label Exists","RC","DRC"
"432527","","Accidental poisoning by plant food and fertilizer","","Y","14,646","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","793","793"
"4101289","","Tyrosinemia","","Y","14,440","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","8,026","8,026"
"4082627","","Enteropathy-associated T-cell lymphoma","","Y","14,438","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","7,003","7,003"
"37109493","","Macular hole of left eye","","Y","14,333","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","2,958","2,958"
"4022078","","Discord with counselor","","Y","14,081","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,577","5,577"
"4020145","","Poisoning by histamine H2-receptor antagonists","","Y","13,758","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,986","5,986"
"4216219","","Bizarre personal appearance","","Y","13,586","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","7,084","7,084"
"442988","","Digestant poisoning","","Y","13,449","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","2,078","2,078"
"4114976","","Balanced rearrangement and structural marker","","Y","13,176","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","7,294","55,370"
"442354","","Poisoning by chloral hydrate","","Y","13,164","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","4,073","4,418"
"444230","","Poisoning by mixed sedative","","Y","13,074","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","1,464","1,464"
"441455","","Poisoning by anterior pituitary hormone","","Y","12,876","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","3,118","3,118"
