"Id","","Name","Domain","Suggested Negative Control","Sort Order","Publication Count (Descendant Concept Match)","Publication Count (Exact Concept Match)","Publication Count (Parent Concept Match)","Publication Count (Ancestor Concept Match)","Indicated / Contraindicated","Broad Concept","Drug Induced Concept","Pregnancy Concept","Product Label Count (Descendant Concept Match)","Product Label (Exact Concept Match)","Product Label (Parent Concept Match)","Product Label (Ancestor Concept Match)","FAERS Count (Descendant Concept Match)","FAERS Count (Exact Concept Match)","FAERS Count (Parent Concept Match)","FAERS Count (Ancestor Concept Match)","User Excluded","User Included","Optimized Out","Not Prevalent","Drug Label Exists","RC","DRC"
"442354","","Poisoning by chloral hydrate","","Y","13,665","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","4,073","4,418"
"438669","","Self poisoning by corrosive or caustic substance","","Y","13,536","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","34,348","34,348"
"37109493","","Macular hole of left eye","","Y","13,497","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","2,958","2,958"
"4216219","","Bizarre personal appearance","","Y","13,487","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","7,084","7,084"
"4101289","","Tyrosinemia","","Y","13,180","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","8,026","8,026"
"433667","","Poisoning by tetanus vaccine","","Y","13,025","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","0","0"
"442988","","Digestant poisoning","","Y","12,899","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","2,078","2,078"
"4158583","","Rifampin poisoning of undetermined intent","","Y","12,803","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","998","998"
"444043","","Poisoning by intravenous anesthetic","","Y","12,793","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","9,675","10,118"
"436041","","Leech infestation","","Y","12,783","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","2,546","3,494"
"4020145","","Poisoning by histamine H2-receptor antagonists","","Y","12,666","0","0","0","0","N","N","N","N","0","0","0","0","0","0","0","0","N","N","N","N","N/A","5,986","5,986"
